EventType,MR.GsmNcellBcc,MR.GsmNcellBcch,MR.GsmNcellCarrierRSSI,MR.GsmNcellNcc,MR.LteNcEarfcn,MR.LteNcPci,MR.LteNcRSRP,MR.LteNcRSRQ,MR.LteScCgi,MR.LteScEarfcn,MR.LteScPci,MR.LteScRSRP,MR.LteScRSRQ,MR.UtraCarrierRSSI,MR.UtraCellParameterId,MR.UtraCpichEcNo,MR.UtraCpichRSCP,MmeCode,MmeGroupId,MmeUeS1apId,TimeStamp,endTime,fileFormatVersion,id,jobid,period,reportTime,startTime
A3,NIL,NIL,NIL,NIL,1650,349,50,10,46000077256611,19650,350,52,12,NIL,NIL,NIL,NIL,194,39424,352322934,2017-11-06T01:15:01.652,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,52,12,46000077256611,19650,350,51,10,NIL,NIL,NIL,NIL,194,39424,469763125,2017-11-06T01:15:01.713,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,55,4,46000077256611,19650,350,57,11,NIL,NIL,NIL,NIL,194,39424,436259771,2017-11-06T01:15:01.735,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,48,11,46000077256611,19650,350,46,11,NIL,NIL,NIL,NIL,206,39424,469779344,2017-11-06T01:15:01.799,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,53,5,46000077256611,19650,350,54,10,NIL,NIL,NIL,NIL,194,39424,167780703,2017-11-06T01:15:01.818,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,6,46000077256611,19650,350,39,5,NIL,NIL,NIL,NIL,194,39424,352372008,2017-11-06T01:15:01.828,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,55,3,46000077256611,19650,350,58,9,NIL,NIL,NIL,NIL,194,39424,7084,2017-11-06T01:15:02.239,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,324,29,10,46000077256611,19650,350,25,6,NIL,NIL,NIL,NIL,194,39424,3511,2017-11-06T01:15:02.242,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,60,4,46000077256611,19650,350,60,6,NIL,NIL,NIL,NIL,194,39424,7091,2017-11-06T01:15:02.483,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,47,9,46000077256611,19650,350,45,4,NIL,NIL,NIL,NIL,194,39424,469832899,2017-11-06T01:15:02.665,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
